seed,seat,normal_top,hard_top,agree,hard_scanned,hard_elapsed_ms
2046, West, 3C, 3C, true, 3, 0
2047, West, 6C, 6C, true, 2, 0
2048, West, 5C, 5C, true, 3, 0
2049, West, 2C, 2C, true, 1, 0
2050, West, 6C, 6C, true, 3, 0
2051, West, 6C, 6C, true, 1, 0
2052, West, 3C, 3C, true, 4, 0
2053, West, 3C, 3C, true, 4, 0
2054, West, 2C, 2C, true, 1, 0
2055, West, 8C, 8C, true, 2, 0
2056, West, QC, QC, true, 1, 0
2057, West, 3C, 3C, true, 4, 0
2058, West, 6C, 6C, true, 3, 0
2059, West, 7C, 7C, true, 1, 0
2060, West, 4C, 4C, true, 2, 0
2061, West, 3C, 3C, true, 3, 0
2062, West, 5C, 5C, true, 2, 0
2063, West, 2C, 2C, true, 1, 0
2064, West, 6C, 6C, true, 4, 0
2065, West, 2C, 2C, true, 1, 0
2066, West, 3C, 3C, true, 5, 0
2067, West, 3C, 3C, true, 5, 0
2068, West, 9C, 9C, true, 3, 0
2069, West, 4C, 4C, true, 5, 1
2070, West, 5C, 5C, true, 1, 0
2071, West, 6C, 6C, true, 4, 0
2072, West, 5C, 5C, true, 4, 0
2073, West, QC, QC, true, 1, 0
2074, West, 8C, 8C, true, 2, 0
2075, West, 3C, 3C, true, 5, 0
2076, West, 6C, 6C, true, 3, 0
2077, West, 10C, 10C, true, 3, 1
2078, West, JC, JC, true, 3, 1
2079, West, 3C, 3C, true, 3, 0
2080, West, 2C, 2C, true, 1, 0
2081, West, 2C, 2C, true, 1, 0
2082, West, 3C, 3C, true, 2, 0
2083, West, 7C, 7C, true, 2, 0
2084, West, 7C, 7C, true, 3, 0
2085, West, JC, JC, true, 2, 0
2086, West, 4C, 4C, true, 4, 1
2087, West, 3C, 3C, true, 4, 0
2088, West, 4C, 4C, true, 3, 0
2089, West, 8C, 8C, true, 4, 1
2090, West, 6C, 6C, true, 2, 0
2091, West, 3C, 3C, true, 5, 1
2092, West, QC, QC, true, 3, 0
2093, West, 10C, 10C, true, 1, 0
2094, West, 2C, 2C, true, 1, 0
2095, West, 5C, 5C, true, 3, 0
2096, West, 3C, 3C, true, 5, 0
2097, West, 2C, 2C, true, 1, 0
2098, West, 2C, 2C, true, 1, 0
2099, West, 10C, 10C, true, 2, 0
2100, West, 2C, 2C, true, 1, 0
2101, West, 5C, 5C, true, 3, 0
2102, West, 2C, 2C, true, 1, 0
2103, West, 7C, 7C, true, 1, 0
2104, West, 3C, 3C, true, 3, 0
2105, West, 3C, 3C, true, 4, 0
2106, West, 3C, 3C, true, 2, 0
2107, West, 5C, 5C, true, 5, 1
2108, West, 5C, 5C, true, 2, 0
2109, West, 2C, 2C, true, 1, 0
2110, West, 4C, 4C, true, 2, 0
2111, West, 2C, 2C, true, 1, 0
2112, West, 8C, 8C, true, 3, 0
2113, West, 2C, 2C, true, 1, 0
2114, West, 2C, 2C, true, 1, 0
2115, West, 3C, 3C, true, 3, 0
2116, West, 2C, 2C, true, 1, 0
2117, West, 4C, 4C, true, 3, 0
2118, West, 8C, 8C, true, 3, 0
2119, West, 5C, 5C, true, 2, 0
2120, West, 3C, 3C, true, 4, 1
2121, West, 3C, 3C, true, 4, 0
2122, West, 3C, 3C, true, 2, 0
2123, West, 2C, 2C, true, 1, 0
2124, West, 6C, 6C, true, 3, 0
2125, West, 7C, 7C, true, 4, 0
2126, West, KC, KC, true, 1, 0
2127, West, KC, KC, true, 1, 0
2128, West, 2C, 2C, true, 1, 0
2129, West, 9C, 9C, true, 1, 0
2130, West, 3C, 3C, true, 3, 0
2131, West, 5C, 5C, true, 2, 0
2132, West, 9C, 9C, true, 3, 0
2133, West, 3C, 3C, true, 2, 0
2134, West, 4C, 4C, true, 6, 1
2135, West, 4C, 4C, true, 3, 0
2136, West, 2C, 2C, true, 1, 0
2137, West, 2C, 2C, true, 1, 0
2138, West, 3C, 3C, true, 4, 0
2139, West, JC, JC, true, 2, 0
2140, West, 6C, 6C, true, 3, 0
2141, West, 2C, 2C, true, 1, 0
2142, West, 3C, 3C, true, 4, 1
2143, West, 2C, 2C, true, 1, 0
2144, West, 2C, 2C, true, 1, 0
2145, West, 6C, 6C, true, 1, 0
2146, West, 3C, 3C, true, 3, 0
2147, West, 5C, 5C, true, 2, 0
2148, West, 4C, 4C, true, 4, 0
2149, West, 2C, 2C, true, 1, 0
2150, West, JS, JS, true, 6, 0
2151, West, 2C, 2C, true, 1, 0
2152, West, 2C, 2C, true, 1, 0
2153, West, 4C, 4C, true, 6, 0
2154, West, 5C, 5C, true, 4, 1
2155, West, JS, 5S, false, 6, 0
2156, West, 3C, 3C, true, 5, 0
2157, West, 3C, 3C, true, 4, 0
2158, West, 9C, 9C, true, 2, 0
2159, West, 4C, 4C, true, 3, 0
2160, West, 5C, 5C, true, 3, 0
2161, West, 5C, 5C, true, 4, 0
2162, West, 4C, 4C, true, 5, 0
2163, West, 6C, 6C, true, 2, 0
2164, West, 2C, 2C, true, 1, 0
2165, West, 4C, 4C, true, 2, 0
2166, West, 6C, 6C, true, 3, 0
2167, West, KD, KD, true, 6, 0
2168, West, 2C, 2C, true, 1, 0
2169, West, 6C, 6C, true, 4, 0
2170, West, 3C, 3C, true, 4, 0
2171, West, 4C, 4C, true, 4, 0
2172, West, 2C, 2C, true, 1, 0
2173, West, 5C, 5C, true, 4, 0
2174, West, 4C, 4C, true, 3, 0
2175, West, 3C, 3C, true, 3, 0
2176, West, 3C, 3C, true, 4, 0
2177, West, 2C, 2C, true, 1, 0
2178, West, 2C, 2C, true, 1, 0
2179, West, 2C, 2C, true, 1, 0
2180, West, 7C, 7C, true, 3, 0
2181, West, 2C, 2C, true, 1, 0
2182, West, 6C, 6C, true, 2, 0
2183, West, 3C, 3C, true, 4, 0
2184, West, 2C, 2C, true, 1, 0
2185, West, 5C, 5C, true, 2, 0
2186, West, 6C, 6C, true, 2, 0
2187, West, 5C, 5C, true, 3, 0
2188, West, 2C, 2C, true, 1, 0
2189, West, 3C, 3C, true, 2, 0
2190, West, 3C, 3C, true, 4, 0
2191, West, 4C, 4C, true, 4, 0
2192, West, 3C, 3C, true, 2, 0
2193, West, 2C, 2C, true, 1, 0
2194, West, 8S, JD, false, 6, 0
2195, West, 4C, 4C, true, 4, 0
2196, West, 2C, 2C, true, 1, 0
2197, West, 2C, 2C, true, 1, 0
2198, West, 7S, 7S, true, 6, 0
2199, West, 4C, 4C, true, 4, 0
2200, West, 6C, 6C, true, 4, 1
2201, West, 6C, 6C, true, 4, 0
2202, West, 2C, 2C, true, 1, 0
2203, West, 4C, 4C, true, 4, 0
2204, West, 3C, 3C, true, 4, 0
2205, West, 3C, 3C, true, 6, 0
2206, West, 3C, 3C, true, 3, 0
2207, West, 8C, 8C, true, 4, 1
2208, West, 2C, 2C, true, 1, 0
2209, West, 6C, 6C, true, 4, 1
2210, West, 6C, 6C, true, 2, 0
2211, West, 2C, 2C, true, 1, 0
2212, West, JS, 3S, false, 6, 0
2213, West, QC, QC, true, 1, 0
2214, West, 2C, 2C, true, 1, 0
2215, West, 4C, 4C, true, 2, 0
2216, West, 3C, 3C, true, 4, 0
2217, West, 10C, 10C, true, 1, 0
2218, West, 2C, 2C, true, 1, 0
2219, West, 4C, 4C, true, 6, 1
2220, West, 6C, 6C, true, 2, 0
2221, West, 3C, 3C, true, 2, 0
2222, West, 4C, 4C, true, 3, 0
2223, West, 5C, 5C, true, 4, 0
2224, West, 5C, 5C, true, 4, 1
2225, West, 6C, 6C, true, 2, 0
2226, West, 3C, 3C, true, 4, 0
2227, West, 4C, 4C, true, 4, 0
2228, West, 2C, 2C, true, 1, 0
2229, West, 8C, 8C, true, 3, 0
2230, West, JC, JC, true, 3, 1
2231, West, 4C, 4C, true, 2, 0
2232, West, 7C, 7C, true, 5, 0
2233, West, 10C, 10C, true, 2, 0
2234, West, 10C, 10C, true, 3, 0
2235, West, 7C, 7C, true, 2, 0
2236, West, 3C, 3C, true, 4, 0
2237, West, 6C, 6C, true, 3, 0
2238, West, 8C, 8C, true, 4, 1
2239, West, JS, KD, false, 6, 0
2240, West, 2C, 2C, true, 1, 0
2241, West, 3C, 3C, true, 5, 0
2242, West, 2C, 2C, true, 1, 0
2243, West, 3C, 3C, true, 3, 0
2244, West, 6C, 6C, true, 3, 0
2245, West, 7C, 7C, true, 4, 1
2246, West, 5C, 5C, true, 2, 0
2247, West, 2C, 2C, true, 1, 0
2248, West, 5C, 5C, true, 4, 1
2249, West, 2C, 2C, true, 1, 0
2250, West, 2C, 2C, true, 1, 0
2251, West, 4C, 4C, true, 4, 0
2252, West, 5C, 5C, true, 2, 0
2253, West, 4C, 4C, true, 4, 0
2254, West, 3C, 3C, true, 3, 0
2255, West, 2C, 2C, true, 1, 0
2256, West, 2C, 2C, true, 1, 0
2257, West, 7C, 7C, true, 2, 0
2258, West, 5C, 5C, true, 3, 0
2259, West, 3C, 3C, true, 3, 0
2260, West, 2C, 2C, true, 1, 0
2261, West, 3C, 3C, true, 5, 0
2262, West, 6C, 6C, true, 4, 1
2263, West, 6C, 6C, true, 2, 0
2264, West, JC, JC, true, 3, 1
2265, West, 2C, 2C, true, 1, 0
2266, West, 7C, 7C, true, 2, 0
2267, West, 2C, 2C, true, 1, 0
2268, West, 6C, 6C, true, 1, 0
2269, West, 2C, 2C, true, 1, 0
2270, West, 3C, 3C, true, 4, 1
2271, West, 2C, 2C, true, 1, 0
